trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,5,-89.63396291174517,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,5,-122.66796946858813,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,5,-67.69110339593041,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,13,-40.54147705456403,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,-16.664786551651815,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,7,-132.65855335002058,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-57.57944256020283,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-223.11174513463672,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,16,5.4234034342434665,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-64.55660644147501,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,-45.82231131109385,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-30.029402789891925,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,15,14.130885506580004,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-54.605274852021765,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-84.38753246642874,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,29.9663725433479,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,-3.999695750841592,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,9.375730666213757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,16,9.42557454906591,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,21.85879292754004,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,25,21.610111949859604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,9.877638669029556,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,14.800495324548285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,13.845289390720628,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,8.456407961203126,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,7.187941213986408,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.216900697065991,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,20,-16.679910381035793,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,7.3423161353030615,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,14.012866871573483,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
