trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.499, 'e': 0.95}",25,0,-154.49749906704918,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.498, 'e': 0.9025}",25,0,-82.53268796458921,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.497, 'e': 0.8573749999999999}",25,0,-110.12257987192233,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.496, 'e': 0.8145062499999999}",25,3,-95.11983429934187,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.495, 'e': 0.7737809374999999}",30,0,-19.502081761242895,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.494, 'e': 0.7350918906249998}",20,0,-62.40622774807789,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.493, 'e': 0.6983372960937497}",25,4,-49.32116210210703,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.492, 'e': 0.6634204312890623}",25,0,-80.63922497600521,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.491, 'e': 0.6302494097246091}",25,0,-116.67021656913055,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.49, 'e': 0.5987369392383786}",30,0,-108.54587879099735,"{0: 24, 1: 3, 2: 0, 3: 0, 4: 3}",0
11,False,"{'a': 0.489, 'e': 0.5688000922764596}",25,6,-32.392092617284234,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.488, 'e': 0.5403600876626365}",25,0,-17.169313055828983,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.487, 'e': 0.5133420832795047}",20,0,-94.20224436312229,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
