trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.4905763395416,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.46757497292847,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.4629408241798,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,7,-115.37809971124003,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.71191720802516,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.32468570222169,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.81679535687363,"{0: 10, 1: 8, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,1,-56.88100865209796,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.4505075562465,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,15,-149.66386046359665,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.04457259112885,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-260.11141662105325,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.56198906977043,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.57980878828597,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.0549868136559,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.74149554886927,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.6765219954799,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.14870759511471,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.5388809018961,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.29723448804035,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.33311346136126,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-267.8532570084984,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.76932449276003,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.920343984716245,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.31150906056544,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,9,-107.51499870641253,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.93914638425046,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.59102018040778,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.3652688214172,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.82713403650293,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
